Model,Accuracy,Precision,Recall,F1_Score
Random Forest,0.8465107986586852,0.7826952723499969,0.8465107986586852,0.7846385384670135
XGBoost,0.846630471682676,0.7868831429478359,0.846630471682676,0.7810121681231545
