Cluster,Center_Latitude,Center_Longitude,Total_Accidents,Dominant_Severity,Dominant_Weather,Dominant_Road_Type,Average_Speed,Average_Casualties,Peak_Hour,Fatal_Count,Serious_Count,Slight_Count
0,51.51517,-0.1632317,484266,Slight,Fine No High Winds,Single Carriageway,34.53,1.26,17.0,3522,55283,425461
633,52.51914,-1.9546542,83307,Slight,Fine No High Winds,Single Carriageway,33.63,1.37,17.0,765,10295,72247
140,53.496063,-2.24795,62855,Slight,Fine No High Winds,Single Carriageway,33.28,1.39,17.0,639,7514,54702
446,53.758736,-1.6638473,58862,Slight,Fine No High Winds,Single Carriageway,33.53,1.42,17.0,515,7751,50596
91,53.43649,-2.8289125,41049,Slight,Fine No High Winds,Single Carriageway,33.16,1.46,17.0,381,5877,34791
509,53.406013,-1.4184225,34744,Slight,Fine No High Winds,Single Carriageway,35.82,1.39,17.0,306,4409,30029
255,54.959965,-1.5423435,33473,Slight,Fine No High Winds,Single Carriageway,36.52,1.35,16.0,222,3708,29543
853,53.00352,-1.209756,31312,Slight,Fine No High Winds,Single Carriageway,35.36,1.31,17.0,237,4381,26694
2858,55.8473,-4.2288647,31221,Slight,Fine No High Winds,Single Carriageway,33.56,1.26,17.0,304,4205,26712
2270,51.467903,-2.574156,20121,Slight,Fine No High Winds,Single Carriageway,32.54,1.24,17.0,169,1981,17971
2007,50.831997,-0.24442491,18261,Slight,Fine No High Winds,Single Carriageway,33.39,1.24,17.0,130,2999,15132
1096,52.62995,-1.133977,17143,Slight,Fine No High Winds,Single Carriageway,33.87,1.3,17.0,119,1405,15619
1733,50.833317,-1.0965703,17096,Slight,Fine No High Winds,Single Carriageway,35.07,1.2,17.0,87,2837,14172
1732,50.94072,-1.3816397,15659,Slight,Fine No High Winds,Single Carriageway,37.55,1.23,17.0,91,2509,13059
2797,55.942593,-3.2013917,15275,Slight,Fine No High Winds,Single Carriageway,32.08,1.17,17.0,87,1942,13246
1777,50.739906,-1.8924999,14132,Slight,Fine No High Winds,Single Carriageway,33.19,1.25,17.0,86,1970,12076
66,53.77274,-2.364841,13297,Slight,Fine No High Winds,Single Carriageway,33.24,1.41,17.0,89,2015,11193
206,53.01845,-2.1825354,13030,Slight,Fine No High Winds,Single Carriageway,33.84,1.33,17.0,112,861,12057
648,52.436363,-1.4952573,13028,Slight,Fine No High Winds,Single Carriageway,34.9,1.31,17.0,130,1818,11080
82,53.735878,-2.6835759,12870,Slight,Fine No High Winds,Single Carriageway,36.48,1.44,17.0,117,1921,10832
582,53.757458,-0.35333365,11557,Slight,Fine No High Winds,Single Carriageway,31.6,1.28,17.0,67,1706,9784
162,53.341557,-2.5207376,10292,Slight,Fine No High Winds,Single Carriageway,45.75,1.45,17.0,102,1267,8923
2608,51.493076,-3.1845577,10131,Slight,Fine No High Winds,Single Carriageway,33.83,1.37,17.0,95,965,9071
854,52.912525,-1.4686214,9597,Slight,Fine No High Winds,Single Carriageway,35.49,1.31,17.0,67,1177,8353
2178,50.389305,-4.1334968,9594,Slight,Fine No High Winds,Single Carriageway,35.81,1.28,17.0,55,874,8665
147,53.357815,-3.0157626,9562,Slight,Fine No High Winds,Single Carriageway,34.35,1.43,17.0,81,1684,7797
2609,51.63598,-3.9157372,9332,Slight,Fine No High Winds,Single Carriageway,35.76,1.39,17.0,87,917,8328
618,54.56582,-1.2569438,7998,Slight,Fine No High Winds,Single Carriageway,35.26,1.39,17.0,52,1171,6775
60,53.82527,-3.0284064,7994,Slight,Fine No High Winds,Single Carriageway,31.62,1.37,17.0,43,1144,6807
1207,52.577286,-0.25069678,7655,Slight,Fine No High Winds,Single Carriageway,39.52,1.34,17.0,48,835,6772
1637,51.76683,-1.2400391,7289,Slight,Fine No High Winds,Single Carriageway,37.07,1.26,17.0,58,1045,6186
507,53.52072,-1.1260437,6959,Slight,Fine No High Winds,Single Carriageway,38.48,1.4,17.0,64,760,6135
1296,52.635635,1.283562,6581,Slight,Fine No High Winds,Single Carriageway,33.08,1.22,17.0,37,886,5658
1205,52.210423,0.12350838,6567,Slight,Fine No High Winds,Single Carriageway,35.86,1.19,17.0,44,857,5666
1884,51.28563,0.4850484,5839,Slight,Fine No High Winds,Single Carriageway,42.5,1.34,17.0,60,588,5191
549,53.558727,-0.07749496,5435,Slight,Fine No High Winds,Single Carriageway,31.75,1.43,17.0,22,838,4575
2457,51.566685,-1.7796688,5435,Slight,Fine No High Winds,Single Carriageway,37.79,1.3,17.0,46,682,4707
2241,50.475967,-3.5652955,5395,Slight,Fine No High Winds,Single Carriageway,35.17,1.28,17.0,32,568,4795
1165,52.244354,-0.8831164,5392,Slight,Fine No High Winds,Single Carriageway,35.25,1.24,17.0,45,894,4453
1356,52.053314,1.1558577,5317,Slight,Fine No High Winds,Single Carriageway,37.42,1.28,17.0,38,589,4690
355,53.963593,-1.0870771,4796,Slight,Fine No High Winds,Single Carriageway,33.58,1.19,17.0,32,562,4202
1069,53.221478,-0.5537257,4534,Slight,Fine No High Winds,Single Carriageway,35.49,1.3,17.0,28,466,4040
1894,51.364735,1.39254,4516,Slight,Fine No High Winds,Single Carriageway,31.81,1.29,17.0,29,499,3988
2011,50.86111,0.53798926,4198,Slight,Fine No High Winds,Single Carriageway,31.75,1.28,17.0,40,773,3385
2203,50.719536,-3.5124512,4015,Slight,Fine No High Winds,Single Carriageway,35.36,1.24,17.0,28,373,3614
1559,51.890446,0.8972079,3844,Slight,Fine No High Winds,Single Carriageway,36.25,1.22,17.0,34,620,3190
1416,52.13154,-0.4656001,3728,Slight,Fine No High Winds,Single Carriageway,34.03,1.28,17.0,29,466,3233
2009,50.7885,0.28067482,3691,Slight,Fine No High Winds,Single Carriageway,33.62,1.3,17.0,22,605,3064
2387,51.856403,-2.2285643,3666,Slight,Fine No High Winds,Single Carriageway,35.1,1.25,17.0,31,499,3136
73,54.056114,-2.8250875,3663,Slight,Fine No High Winds,Single Carriageway,32.32,1.37,17.0,29,643,2991
1515,51.734608,0.4829422,3490,Slight,Fine No High Winds,Single Carriageway,39.84,1.24,17.0,34,567,2889
2732,57.151535,-2.1156545,3484,Slight,Fine No High Winds,Single Carriageway,31.33,1.14,17.0,48,725,2711
1589,51.619995,-0.72845787,3459,Slight,Fine No High Winds,Single Carriageway,40.13,1.36,17.0,44,456,2959
2581,51.586945,-2.992758,3286,Slight,Fine No High Winds,Single Carriageway,40.65,1.35,17.0,38,340,2908
794,52.68466,-2.467154,3244,Slight,Fine No High Winds,Single Carriageway,37.26,1.35,17.0,25,370,2849
191,53.19459,-2.8870816,3225,Slight,Fine No High Winds,Single Carriageway,37.52,1.34,17.0,24,465,2736
187,53.09031,-2.4584632,3168,Slight,Fine No High Winds,Single Carriageway,34.67,1.28,17.0,35,488,2645
1881,51.160206,0.27219576,3082,Slight,Fine No High Winds,Single Carriageway,35.34,1.29,16.0,26,365,2691
452,53.707428,-1.3354234,3064,Slight,Fine No High Winds,Single Carriageway,35.34,1.42,17.0,30,481,2553
694,52.806404,-1.6370279,2992,Slight,Fine No High Winds,Single Carriageway,34.64,1.33,17.0,29,186,2777
558,53.58043,-0.65617025,2789,Slight,Fine No High Winds,Single Carriageway,33.46,1.38,16.0,26,410,2353
718,52.193027,-2.2114882,2710,Slight,Fine No High Winds,Single Carriageway,34.63,1.26,15.0,13,301,2396
2752,56.473522,-2.9671102,2603,Slight,Fine No High Winds,Single Carriageway,31.89,1.2,17.0,31,526,2046
695,52.619972,-1.671762,2511,Slight,Fine No High Winds,Single Carriageway,36.7,1.33,17.0,16,200,2295
352,54.529392,-1.5504359,2505,Slight,Fine No High Winds,Single Carriageway,31.73,1.32,17.0,12,283,2210
1735,51.263756,-1.0946997,2498,Slight,Fine No High Winds,Single Carriageway,42.32,1.25,8.0,29,396,2073
113,53.6403,-2.9960682,2457,Slight,Fine No High Winds,Single Carriageway,30.34,1.39,15.0,29,350,2078
800,52.287296,-1.5484365,2450,Slight,Fine No High Winds,Single Carriageway,33.56,1.25,17.0,25,310,2115
2388,51.90028,-2.0929792,2448,Slight,Fine No High Winds,Single Carriageway,34.43,1.21,17.0,28,365,2055
1879,51.144245,0.87678236,2369,Slight,Fine No High Winds,Single Carriageway,39.14,1.31,17.0,13,236,2120
2283,51.347122,-2.9486802,2326,Slight,Fine No High Winds,Single Carriageway,33.96,1.28,17.0,13,242,2071
18,54.893044,-2.9342995,2319,Slight,Fine No High Winds,Single Carriageway,32.53,1.25,17.0,21,201,2097
1883,51.284096,1.0898012,2217,Slight,Fine No High Winds,Single Carriageway,35.02,1.25,8.0,25,253,1939
1465,51.76086,0.11193641,2119,Slight,Fine No High Winds,Single Carriageway,41.09,1.25,17.0,28,372,1719
2569,53.051334,-3.000636,2118,Slight,Fine No High Winds,Single Carriageway,37.13,1.36,17.0,9,217,1892
1401,52.47648,1.7325268,2062,Slight,Fine No High Winds,Single Carriageway,32.38,1.24,17.0,15,258,1789
2271,51.380177,-2.3705428,2038,Slight,Fine No High Winds,Single Carriageway,30.39,1.19,17.0,21,170,1847
126,53.698788,-2.2896526,1961,Slight,Fine No High Winds,Single Carriageway,37.71,1.45,17.0,26,313,1622
2273,51.01894,-3.0984325,1924,Slight,Fine No High Winds,Single Carriageway,33.79,1.23,17.0,20,195,1709
823,52.376682,-1.2601321,1916,Slight,Fine No High Winds,Single Carriageway,34.11,1.25,8.0,18,259,1639
1588,51.814167,-0.80945206,1915,Slight,Fine No High Winds,Single Carriageway,33.09,1.3,17.0,15,201,1699
359,53.990875,-1.5303293,1912,Slight,Fine No High Winds,Single Carriageway,33.51,1.29,17.0,13,302,1597
746,52.29693,-1.925391,1857,Slight,Fine No High Winds,Single Carriageway,38.42,1.3,17.0,20,230,1607
1878,51.087917,1.1615564,1848,Slight,Fine No High Winds,Single Carriageway,38.37,1.31,17.0,11,206,1631
764,52.71205,-2.7433445,1788,Slight,Fine No High Winds,Single Carriageway,36.52,1.25,16.0,18,232,1538
2844,56.008255,-3.7751265,1762,Slight,Fine No High Winds,Single Carriageway,34.97,1.26,17.0,9,271,1482
14,54.1217,-3.2192414,1748,Slight,Fine No High Winds,Single Carriageway,31.34,1.24,16.0,14,189,1545
2800,55.900787,-3.5116093,1739,Slight,Fine No High Winds,Single Carriageway,35.86,1.34,17.0,14,201,1524
1294,52.595123,1.722652,1729,Slight,Fine No High Winds,Single Carriageway,32.77,1.28,16.0,15,220,1494
2272,51.130875,-2.9953902,1722,Slight,Fine No High Winds,Single Carriageway,37.88,1.28,16.0,17,174,1531
1099,52.768654,-1.2234175,1662,Slight,Fine No High Winds,Single Carriageway,35.21,1.24,17.0,24,156,1482
316,54.779648,-1.5762196,1640,Slight,Fine No High Winds,Single Carriageway,38.41,1.39,16.0,16,175,1449
739,52.384636,-2.2485135,1640,Slight,Fine No High Winds,Single Carriageway,34.79,1.29,15.0,24,210,1406
935,53.075367,-0.8010992,1621,Slight,Fine No High Winds,Single Carriageway,40.12,1.26,17.0,21,234,1366
613,54.682587,-1.2227134,1609,Slight,Fine No High Winds,Single Carriageway,31.62,1.4,17.0,11,256,1342
753,52.055534,-2.7200754,1603,Slight,Fine No High Winds,Single Carriageway,30.74,1.24,17.0,10,168,1425
2875,55.942867,-4.74953,1598,Slight,Fine No High Winds,Single Carriageway,32.02,1.28,17.0,15,211,1372
1893,51.345543,0.73025155,1581,Slight,Fine No High Winds,Single Carriageway,35.21,1.27,15.0,12,174,1395
2016,50.836594,-0.7756848,1550,Slight,Fine No High Winds,Single Carriageway,42.99,1.25,17.0,14,227,1309
1037,52.975048,-0.025730254,1549,Slight,Fine No High Winds,Single Carriageway,33.47,1.24,17.0,7,178,1364
447,53.867214,-1.9100659,1546,Slight,Fine No High Winds,Single Carriageway,31.86,1.41,15.0,11,226,1309
2612,51.517715,-3.5756698,1521,Slight,Fine No High Winds,Single Carriageway,37.4,1.42,17.0,16,147,1358
1892,51.134773,1.3040224,1509,Slight,Fine No High Winds,Single Carriageway,36.58,1.32,15.0,16,162,1331
1158,52.397568,-0.72168416,1501,Slight,Fine No High Winds,Single Carriageway,37.46,1.27,15.0,19,243,1239
1293,52.751354,0.41105884,1476,Slight,Fine No High Winds,Single Carriageway,37.74,1.34,15.0,21,152,1303
2020,50.791725,-0.67986524,1412,Slight,Fine No High Winds,Single Carriageway,32.29,1.23,8.0,14,275,1123
259,55.125603,-1.5427232,1410,Slight,Fine No High Winds,Single Carriageway,34.66,1.37,15.0,8,158,1244
1547,51.798084,1.1521648,1404,Slight,Fine No High Winds,Single Carriageway,30.94,1.27,17.0,11,209,1184
1206,52.33399,-0.17508401,1395,Slight,Fine No High Winds,Single Carriageway,45.9,1.39,17.0,13,148,1234
356,54.28094,-0.4120729,1390,Slight,Fine No High Winds,Single Carriageway,30.35,1.22,16.0,5,254,1131
2110,50.230095,-5.2593594,1385,Slight,Fine No High Winds,Single Carriageway,39.94,1.27,15.0,17,155,1213
2617,51.59053,-3.3191085,1383,Slight,Fine No High Winds,Single Carriageway,39.52,1.44,17.0,18,132,1233
542,53.311123,-1.1227188,1371,Slight,Fine No High Winds,Single Carriageway,35.92,1.32,15.0,8,196,1167
2799,55.881226,-3.0800674,1329,Slight,Fine No High Winds,Single Carriageway,39.04,1.26,16.0,8,184,1137
2803,55.886246,-3.6384602,1301,Slight,Fine No High Winds,Single Carriageway,40.99,1.4,16.0,20,154,1127
2508,50.61345,-2.4656563,1268,Slight,Fine No High Winds,Single Carriageway,31.47,1.25,17.0,7,178,1083
990,52.91169,-0.6462,1264,Slight,Fine No High Winds,Single Carriageway,34.72,1.28,17.0,7,138,1119
264,55.082565,-1.5817534,1253,Slight,Fine No High Winds,Single Carriageway,46.99,1.39,8.0,13,122,1118
2623,51.62916,-3.454333,1247,Slight,Fine No High Winds,Single Carriageway,32.34,1.45,16.0,18,128,1101
1634,52.063248,-1.3368508,1223,Slight,Fine No High Winds,Single Carriageway,35.73,1.24,17.0,9,168,1046
2282,50.945312,-2.6401672,1221,Slight,Fine No High Winds,Single Carriageway,32.35,1.25,17.0,7,134,1080
2428,51.07301,-1.8014627,1221,Slight,Fine No High Winds,Single Carriageway,32.75,1.28,17.0,11,188,1022
827,52.538925,-1.3780437,1204,Slight,Fine No High Winds,Single Carriageway,36.1,1.29,8.0,4,116,1084
2615,51.409725,-3.2677894,1200,Slight,Fine No High Winds,Single Carriageway,32.72,1.34,17.0,6,116,1078
257,55.176003,-1.5602483,1193,Slight,Fine No High Winds,Single Carriageway,36.45,1.34,15.0,10,144,1039
1648,51.401173,-1.305346,1189,Slight,Fine No High Winds,Single Carriageway,35.18,1.21,17.0,12,136,1041
1361,52.24819,0.7112101,1187,Slight,Fine No High Winds,Single Carriageway,38.43,1.27,17.0,13,148,1026
186,53.256527,-2.5080411,1182,Slight,Fine No High Winds,Single Carriageway,37.54,1.27,16.0,12,182,988
2024,51.070732,-0.3291588,1177,Slight,Fine No High Winds,Single Carriageway,40.48,1.26,8.0,13,215,949
2530,53.31229,-3.4871697,1175,Slight,Fine No High Winds,Single Carriageway,32.28,1.38,16.0,10,140,1025
1736,50.706764,-1.2854536,1139,Slight,Fine No High Winds,Single Carriageway,35.15,1.25,17.0,8,180,951
1496,51.87696,0.562242,1138,Slight,Fine No High Winds,Single Carriageway,40.13,1.27,17.0,12,213,913
1186,52.29998,-0.6978219,1126,Slight,Fine No High Winds,Single Carriageway,36.1,1.26,17.0,13,186,927
2611,51.751186,-3.3732426,1125,Slight,Fine No High Winds,Single Carriageway,39.24,1.54,17.0,19,118,988
192,53.191536,-2.4951668,1122,Slight,Fine No High Winds,Single Carriageway,37.27,1.31,17.0,11,166,945
1211,52.66226,0.16073275,1115,Slight,Fine No High Winds,Single Carriageway,34.84,1.29,17.0,10,153,952
696,52.687332,-1.8173131,1108,Slight,Fine No High Winds,Single Carriageway,41.32,1.36,16.0,15,49,1044
1159,52.488068,-0.7074315,1107,Slight,Fine No High Winds,Single Carriageway,34.65,1.25,17.0,20,207,880
2666,51.682594,-4.152103,1087,Slight,Fine No High Winds,Single Carriageway,32.38,1.33,16.0,6,121,960
189,53.258583,-2.1320393,1054,Slight,Fine No High Winds,Single Carriageway,31.67,1.25,15.0,7,189,858
747,52.34457,-2.0586357,1051,Slight,Fine No High Winds,Single Carriageway,42.09,1.35,8.0,16,115,920
2904,55.76431,-4.177561,1042,Slight,Fine No High Winds,Single Carriageway,36.21,1.25,17.0,12,124,906
24,54.540314,-3.5742342,1020,Slight,Fine No High Winds,Single Carriageway,35.3,1.4,15.0,11,106,903
1898,51.426105,0.7733234,1007,Slight,Fine No High Winds,Single Carriageway,34.61,1.32,15.0,9,120,878
2540,53.205585,-3.0438612,989,Slight,Fine No High Winds,Single Carriageway,36.81,1.37,17.0,13,132,844
2843,56.106976,-3.927911,985,Slight,Fine No High Winds,Single Carriageway,38.93,1.26,17.0,10,119,856
1494,51.795513,0.62869513,983,Slight,Fine No High Winds,Single Carriageway,46.17,1.32,17.0,9,163,811
992,52.79222,-0.14700033,968,Slight,Fine No High Winds,Single Carriageway,35.1,1.27,16.0,10,108,850
2934,55.46422,-4.6150856,968,Slight,Fine No High Winds,Single Carriageway,33.88,1.23,15.0,13,135,820
2159,50.343388,-4.7622066,957,Slight,Fine No High Winds,Single Carriageway,36.37,1.31,17.0,10,91,856
1740,51.211243,-1.4868846,947,Slight,Fine No High Winds,Single Carriageway,37.17,1.22,17.0,12,168,767
1456,51.80168,-0.059599224,940,Slight,Fine No High Winds,Single Carriageway,41.21,1.28,8.0,12,93,835
61,53.75002,-3.003825,935,Slight,Fine No High Winds,Single Carriageway,30.05,1.37,17.0,12,171,752
328,54.760555,-1.3414029,916,Slight,Fine No High Winds,Single Carriageway,38.07,1.44,17.0,6,128,782
2584,51.662315,-3.2154253,904,Slight,Fine No High Winds,Single Carriageway,35.19,1.46,17.0,10,120,774
1633,51.6774,-1.288081,901,Slight,Fine No High Winds,Single Carriageway,39.39,1.23,8.0,14,144,743
1036,53.15572,0.33719718,900,Slight,Fine No High Winds,Single Carriageway,31.71,1.4,15.0,10,98,792
536,53.424213,-1.2461772,894,Slight,Fine No High Winds,Single Carriageway,38.88,1.46,16.0,9,106,779
2122,50.262924,-5.0673566,875,Slight,Fine No High Winds,Single Carriageway,37.83,1.33,16.0,2,76,797
2190,51.075882,-4.06002,864,Slight,Fine No High Winds,Single Carriageway,36.03,1.25,17.0,10,75,779
911,52.77405,-1.5573921,857,Slight,Fine No High Winds,Single Carriageway,31.42,1.27,17.0,10,112,735
2465,51.3153,-2.2058933,857,Slight,Fine No High Winds,Single Carriageway,33.17,1.24,16.0,7,103,747
299,54.650043,-1.6820375,854,Slight,Fine No High Winds,Single Carriageway,34.7,1.44,15.0,11,95,748
1103,52.723625,-1.3606328,843,Slight,Fine No High Winds,Single Carriageway,35.15,1.26,8.0,10,90,743
165,53.45234,-1.983742,825,Slight,Fine No High Winds,Single Carriageway,33.24,1.32,16.0,4,115,706
636,52.62954,-1.9252452,822,Slight,Fine No High Winds,Single Carriageway,32.46,1.36,15.0,11,106,705
1909,51.365154,1.1248996,813,Slight,Fine No High Winds,Single Carriageway,33.68,1.28,16.0,6,89,718
23,54.636665,-3.5512261,811,Slight,Fine No High Winds,Single Carriageway,31.47,1.37,14.0,3,85,723
467,53.606968,-1.326416,792,Slight,Fine No High Winds,Single Carriageway,34.36,1.49,16.0,17,151,624
2526,53.298157,-3.7300458,778,Slight,Fine No High Winds,Single Carriageway,33.01,1.3,16.0,7,93,678
581,54.087837,-0.20052424,771,Slight,Fine No High Winds,Single Carriageway,30.66,1.3,15.0,9,128,634
453,53.86829,-1.6969936,765,Slight,Fine No High Winds,Single Carriageway,32.04,1.4,17.0,6,110,649
2015,50.799,-0.025941294,759,Slight,Fine No High Winds,Single Carriageway,31.15,1.3,17.0,6,134,619
2461,51.460682,-2.1291113,745,Slight,Fine No High Winds,Single Carriageway,38.34,1.26,16.0,7,93,645
2027,51.00036,-0.10131725,744,Slight,Fine No High Winds,Single Carriageway,34.69,1.25,17.0,5,113,626
92,53.56664,-2.889384,743,Slight,Fine No High Winds,Single Carriageway,34.16,1.46,15.0,7,106,630
802,52.19547,-1.7143177,733,Slight,Fine No High Winds,Single Carriageway,35.74,1.22,16.0,4,117,612
74,53.914566,-3.0261483,724,Slight,Fine No High Winds,Single Carriageway,32.2,1.26,16.0,7,101,616
578,53.84168,-0.4281908,722,Slight,Fine No High Winds,Single Carriageway,32.44,1.22,16.0,7,100,615
1840,51.232964,-0.3287734,722,Slight,Fine No High Winds,Single Carriageway,38.88,1.24,17.0,12,105,605
857,53.049625,-1.397981,716,Slight,Fine No High Winds,Single Carriageway,39.71,1.29,17.0,7,97,612
1764,50.84703,-1.7853862,707,Slight,Fine No High Winds,Single Carriageway,51.68,1.37,17.0,10,112,585
620,54.608425,-1.0713074,706,Slight,Fine No High Winds,Single Carriageway,32.95,1.39,16.0,4,108,594
1731,50.721764,-1.1622832,704,Slight,Fine No High Winds,Single Carriageway,34.91,1.33,17.0,5,115,584
2210,50.627777,-3.4030828,693,Slight,Fine No High Winds,Single Carriageway,34.23,1.24,16.0,3,81,609
2621,51.70838,-3.4370735,691,Slight,Fine No High Winds,Single Carriageway,34.86,1.57,17.0,10,45,636
2926,55.60581,-4.4918694,688,Slight,Fine No High Winds,Single Carriageway,35.12,1.26,13.0,5,108,575
721,52.11955,-2.31628,683,Slight,Fine No High Winds,Single Carriageway,30.81,1.23,15.0,6,77,600
1890,51.3539,1.0373493,681,Slight,Fine No High Winds,Single Carriageway,36.27,1.3,15.0,7,73,601
343,54.8573,-1.8228084,676,Slight,Fine No High Winds,Single Carriageway,38.02,1.48,16.0,11,96,569
2506,50.709667,-2.4415605,676,Slight,Fine No High Winds,Single Carriageway,42.59,1.47,17.0,9,93,574
338,54.86745,-1.7050409,669,Slight,Fine No High Winds,Single Carriageway,33.81,1.41,16.0,7,85,577
2753,56.401463,-3.4493465,665,Slight,Fine No High Winds,Single Carriageway,32.36,1.17,16.0,7,137,521
1889,51.21576,1.3928086,665,Slight,Fine No High Winds,Single Carriageway,30.9,1.26,17.0,1,84,580
2783,56.124947,-3.1560218,661,Slight,Fine No High Winds,Single Carriageway,35.25,1.23,15.0,5,87,569
2026,50.87164,0.0015090441,658,Slight,Fine No High Winds,Single Carriageway,43.57,1.31,17.0,5,114,539
1747,50.649445,-1.1650575,647,Slight,Fine No High Winds,Single Carriageway,30.57,1.35,16.0,2,109,536
330,54.82926,-1.3618559,647,Slight,Fine No High Winds,Single Carriageway,39.58,1.51,15.0,7,111,529
1651,51.89902,-1.1528918,644,Slight,Fine No High Winds,Single Carriageway,40.02,1.24,17.0,7,94,543
1187,52.298183,-0.6013292,641,Slight,Fine No High Winds,Single Carriageway,37.82,1.22,15.0,10,118,513
2919,55.645523,-4.7600045,641,Slight,Fine No High Winds,Single Carriageway,32.11,1.21,15.0,6,105,530
1839,51.097588,-0.7319652,635,Slight,Fine No High Winds,Single Carriageway,39.37,1.49,8.0,7,89,539
1393,51.965412,1.3376255,630,Slight,Fine No High Winds,Single Carriageway,35.24,1.27,12.0,4,72,554
2116,50.120216,-5.537556,626,Slight,Fine No High Winds,Single Carriageway,36.6,1.22,15.0,6,71,549
1458,51.87023,0.1654443,620,Slight,Fine No High Winds,Single Carriageway,34.26,1.29,17.0,7,73,540
1237,52.222782,-0.2730363,620,Slight,Fine No High Winds,Single Carriageway,37.35,1.32,17.0,9,85,526
508,53.57446,-1.1949911,619,Slight,Fine No High Winds,Single Carriageway,42.54,1.51,17.0,8,82,529
2591,51.583046,-3.2208729,617,Slight,Fine No High Winds,Single Carriageway,33.7,1.32,15.0,3,90,524
2585,51.651146,-3.0237136,612,Slight,Fine No High Winds,Single Carriageway,36.09,1.32,16.0,9,72,531
16,54.32686,-2.7433453,607,Slight,Fine No High Winds,Single Carriageway,30.84,1.2,17.0,3,68,536
1743,50.750923,-1.6640261,607,Slight,Fine No High Winds,Single Carriageway,31.42,1.22,15.0,6,120,481
2294,51.29373,-2.4590948,598,Slight,Fine No High Winds,Single Carriageway,34.52,1.39,15.0,9,53,536
510,53.58739,-1.0058082,597,Slight,Fine No High Winds,Single Carriageway,43.32,1.37,15.0,8,83,506
2588,51.792503,-3.1988447,594,Slight,Fine No High Winds,Single Carriageway,34.98,1.54,17.0,8,72,514
2918,55.616505,-4.6506643,585,Slight,Fine No High Winds,Single Carriageway,38.03,1.26,17.0,9,82,494
1638,51.783245,-1.4915917,581,Slight,Fine No High Winds,Single Carriageway,37.28,1.22,17.0,10,61,510
2781,56.013657,-3.4082477,576,Slight,Fine No High Winds,Single Carriageway,42.4,1.23,17.0,6,78,492
1737,50.84415,-1.39372,574,Slight,Fine No High Winds,Single Carriageway,35.84,1.27,15.0,7,123,444
2117,50.158707,-5.0875187,558,Slight,Fine No High Winds,Single Carriageway,35.48,1.27,16.0,8,66,484
1360,52.25368,0.39855015,557,Slight,Fine No High Winds,Single Carriageway,38.82,1.27,16.0,8,84,465
2136,50.412815,-5.0714583,555,Slight,Fine No High Winds,Single Carriageway,35.33,1.28,15.0,5,61,489
1368,52.039448,0.73962486,551,Slight,Fine No High Winds,Single Carriageway,32.14,1.31,16.0,9,58,484
1827,51.19373,-0.6074243,543,Slight,Fine No High Winds,Single Carriageway,32.5,1.3,17.0,3,63,477
1292,52.41446,0.7421611,543,Slight,Fine No High Winds,Single Carriageway,39.12,1.3,15.0,5,68,470
733,52.265472,-2.1530404,541,Slight,Fine No High Winds,Single Carriageway,45.43,1.35,17.0,8,62,471
654,53.102673,-2.0285816,526,Slight,Fine No High Winds,Single Carriageway,32.62,1.35,16.0,6,44,476
196,53.16446,-2.2145398,525,Slight,Fine No High Winds,Single Carriageway,33.03,1.3,17.0,8,110,407
667,52.75695,-1.9355813,522,Slight,Fine No High Winds,Single Carriageway,34.56,1.27,17.0,6,33,483
2945,55.07154,-3.6145113,517,Slight,Fine No High Winds,Single Carriageway,32.69,1.18,17.0,2,94,421
1071,53.39886,-0.77158415,506,Slight,Fine No High Winds,Single Carriageway,32.79,1.32,15.0,3,45,458
2892,55.943592,-4.004242,506,Slight,Fine No High Winds,Single Carriageway,42.25,1.42,17.0,8,80,418
2303,51.53924,-2.4180157,503,Slight,Fine No High Winds,Single Carriageway,32.37,1.28,17.0,6,42,455
2008,50.958622,-0.13566887,501,Slight,Fine No High Winds,Single Carriageway,31.3,1.25,8.0,1,86,414
2727,57.4804,-4.2227917,496,Slight,Fine No High Winds,Single Carriageway,32.96,1.2,16.0,8,60,428
261,54.844624,-1.4834172,496,Slight,Fine No High Winds,Single Carriageway,33.97,1.3,17.0,3,71,422
727,52.08885,-1.9402633,493,Slight,Fine No High Winds,Single Carriageway,35.58,1.21,17.0,7,71,415
1235,52.552647,0.08303816,493,Slight,Fine No High Winds,Single Carriageway,34.65,1.25,16.0,4,60,429
856,53.019733,-1.4611586,491,Slight,Fine No High Winds,Single Carriageway,34.99,1.29,15.0,3,64,424
2152,50.466526,-4.713652,490,Slight,Fine No High Winds,Single Carriageway,42.27,1.41,16.0,2,41,447
1863,51.131092,-0.01762449,490,Slight,Fine No High Winds,Single Carriageway,31.65,1.25,8.0,2,93,395
1104,52.764557,-0.8883297,489,Slight,Fine No High Winds,Single Carriageway,30.76,1.29,8.0,5,47,437
1887,51.309895,0.887104,487,Slight,Fine No High Winds,Single Carriageway,40.88,1.33,17.0,4,53,430
2393,51.743515,-2.2253392,483,Slight,Fine No High Winds,Single Carriageway,31.41,1.19,16.0,5,70,408
2524,53.31931,-3.8234956,482,Slight,Fine No High Winds,Single Carriageway,32.01,1.32,15.0,5,58,419
940,53.319523,-0.9448015,474,Slight,Fine No High Winds,Single Carriageway,32.7,1.31,17.0,3,84,387
