Cluster,Center_Latitude,Center_Longitude,Total_Accidents,Dominant_Severity,Dominant_Weather,Dominant_Road_Type,Average_Speed,Average_Casualties,Peak_Hour,Fatal_Count,Serious_Count,Slight_Count
3278,53.12847,-1.4897101,25,Slight,Fine No High Winds,Single Carriageway,52.0,1.72,11.0,1,4,20
3376,55.061005,-1.4839555,25,Slight,Fine No High Winds,Single Carriageway,58.4,1.76,23.0,0,3,22
2958,53.664513,-2.7752151,25,Slight,Fine No High Winds,Single Carriageway,29.2,1.16,10.0,0,2,23
3379,53.939274,-2.0131333,25,Slight,Fine No High Winds,Single Carriageway,52.4,1.44,15.0,0,3,22
3382,54.56906,-1.0007786,25,Slight,Fine No High Winds,Single Carriageway,60.0,2.12,13.0,1,4,20
3400,52.14226,1.2189652,25,Slight,Fine No High Winds,Single Carriageway,48.4,1.32,9.0,1,1,23
3387,52.22716,-1.8808014,25,Slight,Fine No High Winds,Single Carriageway,47.6,1.4,22.0,0,5,20
1538,51.6446,0.79292,25,Slight,Fine No High Winds,Single Carriageway,49.6,1.32,8.0,1,6,18
1543,51.836456,0.51272905,25,Slight,Fine No High Winds,Dual Carriageway,65.2,1.24,10.0,0,4,21
185,53.448532,-2.4337668,25,Slight,Fine No High Winds,Dual Carriageway,70.0,2.0,16.0,1,3,21
3391,52.87106,-1.1294621,25,Slight,Fine No High Winds,Single Carriageway,47.2,1.28,7.0,1,6,18
3394,52.485073,-1.1972681,25,Slight,Fine No High Winds,Single Carriageway,62.4,1.52,18.0,2,4,19
3036,53.030487,-0.38389954,25,Slight,Fine No High Winds,Single Carriageway,57.6,1.8,10.0,1,3,21
3362,52.043983,-3.7402172,25,Slight,Fine No High Winds,Single Carriageway,57.2,1.36,7.0,0,8,17
3283,53.225426,-1.1116887,25,Slight,Fine No High Winds,Single Carriageway,58.0,1.48,7.0,1,6,18
303,54.694008,-1.7461166,25,Slight,Fine No High Winds,Single Carriageway,30.0,1.4,11.0,1,5,19
2973,54.772327,-1.4759756,25,Slight,Fine No High Winds,Single Carriageway,36.4,1.72,10.0,0,6,19
3445,53.38533,-1.3532621,25,Slight,Fine No High Winds,Single Carriageway,31.2,1.2,17.0,0,3,22
1426,52.16336,-0.5267183,25,Slight,Fine No High Winds,Single Carriageway,50.4,1.32,8.0,0,1,24
3461,51.68042,-1.1321151,25,Slight,Fine No High Winds,Single Carriageway,41.6,1.28,8.0,0,6,19
1182,52.07387,-0.8847719,25,Slight,Fine No High Winds,Single Carriageway,57.6,1.4,16.0,0,7,18
3448,52.79866,-2.9487915,25,Slight,Fine No High Winds,Single Carriageway,46.8,1.44,9.0,1,3,21
3284,53.087246,-0.87078166,25,Slight,Fine No High Winds,Single Carriageway,53.2,1.36,10.0,1,6,18
1767,50.702736,-1.346025,25,Slight,Fine No High Winds,Single Carriageway,58.4,1.92,11.0,0,8,17
1729,51.429707,-1.0467105,25,Slight,Fine No High Winds,Dual Carriageway,70.0,1.6,8.0,2,2,21
3446,52.340435,-2.1938615,25,Slight,Fine No High Winds,Single Carriageway,57.6,1.48,7.0,0,5,20
3450,53.35268,-1.0046489,25,Slight,Fine No High Winds,Single Carriageway,42.0,1.48,15.0,0,2,23
3458,52.051876,1.033734,25,Slight,Fine No High Winds,Single Carriageway,36.4,1.68,16.0,0,2,23
2975,54.538403,-1.6753651,25,Slight,Fine No High Winds,Single Carriageway,57.6,1.84,16.0,0,6,19
3248,53.90735,-2.960354,25,Slight,Fine No High Winds,Single Carriageway,56.0,1.52,17.0,0,7,18
1185,52.271008,-0.9147051,25,Slight,Fine No High Winds,Single Carriageway,33.6,1.12,8.0,0,6,19
3452,52.67822,-0.7199326,25,Slight,Fine No High Winds,Single Carriageway,40.8,1.24,16.0,0,5,20
3441,54.26415,-0.44255775,25,Slight,Fine No High Winds,Single Carriageway,51.2,1.48,17.0,0,3,22
3453,52.560097,-1.0644574,25,Slight,Fine No High Winds,Single Carriageway,57.6,1.88,10.0,1,6,18
2966,53.3128,-3.0661125,24,Slight,Fine No High Winds,Single Carriageway,42.92,1.58,16.0,2,2,20
3627,56.125122,-3.8320868,24,Slight,Fine No High Winds,Single Carriageway,53.75,1.21,9.0,1,4,19
3159,50.10612,-5.2932177,24,Slight,Fine No High Winds,Single Carriageway,56.25,1.21,17.0,0,3,21
3110,50.85284,-1.298544,24,Slight,Fine No High Winds,Single Carriageway,30.0,1.04,15.0,1,6,17
3631,53.428226,-2.682185,24,Slight,Fine No High Winds,Single Carriageway,49.17,1.71,14.0,0,1,23
3122,51.183746,-0.10907046,24,Slight,Fine No High Winds,Single Carriageway,43.75,1.38,9.0,0,5,19
292,54.918133,-1.4890361,24,Slight,Fine No High Winds,Single Carriageway,50.42,1.5,15.0,1,5,18
